attrition_id,emp_id,department,role,left_date,tenure_months,annual_salary,primary_reason,secondary_reason,exit_interview_done,would_rejoin,notice_period_days,replacement_cost_lakh,age,gender,job_satisfaction,work_life_balance
ATT00079,EMP00423,Marketing,Marketing Executive,2017-10-15,15,869620.0,Competitor Offer,Competitor Offer,0,No,30,8.5,33,Male,5,3
ATT00080,EMP00426,Data Analytics,Senior Analyst,2021-08-17,20,961534.0,Growth Stagnation,Higher Salary,0,No,30,8.7,29,Male,3,2
ATT00081,EMP00428,Finance,Financial Analyst,2023-01-18,13,698270.0,Growth Stagnation,Personal Reasons,0,Yes,60,7.1,26,Male,2,3
ATT00082,EMP00440,Finance,Senior Analyst,2023-09-29,11,873786.0,Manager Issues,Better Opportunity,1,No,90,9.8,29,Male,4,5
ATT00083,EMP00444,Legal,Company Secretary,2024-10-28,110,815089.0,Personal Reasons,Growth Stagnation,1,No,30,11.2,45,Male,5,2
ATT00084,EMP00445,HR,Recruiter,2024-04-26,102,666448.0,Better Opportunity,Relocation,0,Yes,90,4.2,36,Female,4,5
ATT00085,EMP00449,Operations,Process Analyst,2023-12-23,49,666742.0,Higher Salary,Better Opportunity,1,Yes,30,5.6,54,Female,5,2
ATT00086,EMP00450,Marketing,Digital Marketing Manager,2024-05-27,31,598118.0,Work Life Balance,Relocation,1,Maybe,30,7.5,49,Male,5,2
ATT00087,EMP00455,Engineering,Engineering Manager,2016-11-19,10,2433213.0,Company Culture,Better Opportunity,1,Maybe,90,28.5,23,Female,1,4
ATT00088,EMP00499,Product,Product Manager,2023-01-26,0,1334365.0,Work Life Balance,Work Life Balance,0,No,90,8.8,25,Male,5,1
ATT00089,EMP00509,Product,Senior PM,2015-05-02,1,2209824.0,Work Life Balance,Company Culture,1,No,30,31.7,23,Male,5,2
ATT00090,EMP00510,Operations,Operations Manager,2024-08-03,88,845319.0,Health Issues,Competitor Offer,1,Yes,30,7.0,54,Female,2,5
ATT00091,EMP00514,Finance,Senior Analyst,2022-08-27,18,973451.0,Growth Stagnation,Growth Stagnation,1,Yes,90,9.8,22,Female,3,3
ATT00092,EMP00520,Engineering,DevOps Engineer,2022-01-14,83,595965.0,Manager Issues,Work Life Balance,1,Yes,90,3.1,45,Female,4,4
ATT00093,EMP00522,Sales,Senior Sales,2018-11-11,3,982858.0,Health Issues,Competitor Offer,0,Yes,90,12.2,55,Female,5,3
ATT00094,EMP00532,Product,Director of Product,2017-11-24,30,650399.0,Company Culture,Company Culture,1,Maybe,30,7.2,52,Male,2,1
ATT00095,EMP00535,Data Analytics,BI Developer,2023-04-04,29,872054.0,Health Issues,Health Issues,1,Yes,60,12.1,40,Male,5,3
ATT00096,EMP00537,Legal,General Counsel,2019-11-28,25,661576.0,Relocation,Health Issues,1,No,60,6.5,39,Female,5,3
ATT00097,EMP00546,Legal,Company Secretary,2015-09-17,4,608438.0,Health Issues,Health Issues,0,Maybe,30,8.2,26,Male,3,3
ATT00098,EMP00558,Legal,Company Secretary,2023-10-24,32,841454.0,Relocation,Health Issues,0,No,60,10.3,43,Male,5,2
ATT00099,EMP00566,Operations,Process Analyst,2020-10-24,28,824025.0,Competitor Offer,Manager Issues,0,No,90,10.0,52,Male,1,2
ATT00100,EMP00570,Finance,Finance Manager,2024-03-29,33,866870.0,Higher Salary,Growth Stagnation,0,Maybe,90,10.2,51,Male,5,1
ATT00101,EMP00574,Data Analytics,Data Analyst,2023-07-23,19,696857.0,Competitor Offer,Work Life Balance,1,Maybe,30,8.3,49,Female,5,2
ATT00102,EMP00579,Engineering,Tech Lead,2019-01-09,36,2160925.0,Work Life Balance,Manager Issues,0,No,90,20.3,52,Female,3,5
ATT00103,EMP00587,Data Analytics,Senior Analyst,2020-12-23,31,883392.0,Better Opportunity,Personal Reasons,1,No,30,10.9,51,Male,1,3
ATT00104,EMP00588,Customer Success,Account Executive,2024-04-06,12,706092.0,Personal Reasons,Growth Stagnation,1,No,90,7.5,23,Female,3,3
ATT00105,EMP00593,Legal,Company Secretary,2024-07-01,11,701379.0,Manager Issues,Company Culture,0,Maybe,90,7.7,48,Female,3,2
ATT00106,EMP00597,Finance,Senior Analyst,2018-11-02,20,1036577.0,Work Life Balance,Better Opportunity,1,No,90,11.4,26,Female,1,5
ATT00107,EMP00601,Sales,Account Manager,2024-12-25,20,784793.0,Higher Salary,Better Opportunity,0,Yes,90,6.3,26,Female,4,1
ATT00108,EMP00605,Sales,Senior Sales,2016-11-19,16,912039.0,Better Opportunity,Relocation,0,Yes,30,5.0,36,Female,3,2
ATT00109,EMP00607,Customer Success,CS Manager,2023-08-18,24,742323.0,Manager Issues,Better Opportunity,1,Maybe,60,5.4,22,Male,5,3
ATT00110,EMP00608,Sales,Senior Sales,2021-05-14,30,949904.0,Personal Reasons,Growth Stagnation,1,No,60,12.3,23,Female,3,1
ATT00111,EMP00617,Customer Success,CS Director,2022-03-16,78,696945.0,Personal Reasons,Personal Reasons,1,Yes,60,5.7,49,Male,2,4
ATT00112,EMP00619,Product,VP Product,2019-11-27,19,791942.0,Manager Issues,Relocation,1,No,60,10.7,29,Male,4,3
ATT00113,EMP00624,Finance,Controller,2020-08-31,65,653086.0,Higher Salary,Health Issues,1,Yes,90,4.8,35,Male,4,2
ATT00114,EMP00625,Operations,COO,2020-09-10,48,599029.0,Manager Issues,Competitor Offer,1,No,30,5.3,43,Male,5,5
ATT00115,EMP00631,Marketing,Digital Marketing Manager,2023-10-02,92,624477.0,Growth Stagnation,Company Culture,1,Maybe,30,3.9,23,Male,4,5
ATT00116,EMP00635,Product,Product Analyst,2020-07-18,47,842043.0,Manager Issues,Personal Reasons,1,Yes,30,6.6,46,Other,3,4
ATT00117,EMP00641,Engineering,Senior Engineer,2019-07-15,1,1353632.0,Competitor Offer,Competitor Offer,1,Yes,60,11.1,48,Male,2,1
ATT00118,EMP00655,HR,HR Business Partner,2024-01-27,16,868396.0,Better Opportunity,Higher Salary,1,Yes,60,7.6,42,Female,1,2
ATT00119,EMP00663,HR,Recruiter,2020-06-30,13,828361.0,Better Opportunity,Company Culture,0,Maybe,90,7.7,45,Male,3,3
ATT00120,EMP00665,Data Analytics,Senior Analyst,2017-01-21,9,1216522.0,Personal Reasons,Relocation,1,Yes,30,12.4,41,Male,1,4
ATT00121,EMP00668,Legal,Company Secretary,2023-08-21,33,705417.0,Manager Issues,Higher Salary,0,No,30,6.3,38,Male,3,1
ATT00122,EMP00680,Engineering,Principal Engineer,2022-02-13,75,3226558.0,Work Life Balance,Competitor Offer,1,No,30,47.8,44,Female,3,2
ATT00123,EMP00694,Marketing,Digital Marketing Manager,2022-07-22,9,703089.0,Personal Reasons,Competitor Offer,1,Maybe,60,7.8,39,Male,5,3
ATT00124,EMP00700,Legal,Legal Manager,2024-12-02,55,606454.0,Company Culture,Personal Reasons,0,No,30,7.1,39,Male,3,5
ATT00125,EMP00709,Data Analytics,Data Analyst,2021-03-29,38,584751.0,Growth Stagnation,Better Opportunity,1,No,90,6.0,29,Male,4,5
ATT00126,EMP00714,Customer Success,Account Executive,2022-09-10,6,867486.0,Health Issues,Personal Reasons,1,Maybe,30,6.6,29,Male,2,3
ATT00127,EMP00718,Customer Success,CS Manager,2024-06-25,24,670930.0,Company Culture,Manager Issues,1,No,90,3.7,46,Male,4,4
ATT00128,EMP00725,Engineering,Software Engineer,2021-07-31,54,772950.0,Higher Salary,Personal Reasons,0,No,30,3.9,24,Female,4,5
ATT00129,EMP00731,HR,HR Manager,2017-07-09,18,596496.0,Personal Reasons,Higher Salary,1,No,90,8.3,39,Female,3,5
ATT00130,EMP00737,Product,Product Manager,2023-10-08,36,1638173.0,Work Life Balance,Growth Stagnation,1,Yes,60,13.1,25,Female,5,4
ATT00131,EMP00742,Operations,Operations Manager,2024-02-18,39,867658.0,Competitor Offer,Growth Stagnation,1,Maybe,90,5.5,53,Female,2,5
ATT00132,EMP00743,Sales,Sales Manager,2024-06-03,12,1083211.0,Work Life Balance,Competitor Offer,1,Yes,60,14.8,45,Male,3,1
ATT00133,EMP00753,Customer Success,CS Executive,2018-10-23,12,752270.0,Growth Stagnation,Growth Stagnation,1,Maybe,60,9.8,34,Female,4,1
ATT00134,EMP00754,Data Analytics,Data Scientist,2023-03-04,74,1628806.0,Competitor Offer,Higher Salary,1,No,30,13.3,36,Male,3,1
ATT00135,EMP00760,Operations,Operations Executive,2024-03-05,8,840089.0,Higher Salary,Manager Issues,1,No,90,8.7,32,Male,4,2
ATT00136,EMP00767,Finance,Senior Analyst,2024-02-14,64,872367.0,Work Life Balance,Competitor Offer,1,Yes,90,12.0,26,Female,1,3
ATT00137,EMP00774,Sales,Sales Manager,2021-09-28,61,1098164.0,Work Life Balance,Health Issues,1,Maybe,60,10.6,39,Male,5,4
ATT00138,EMP00776,Finance,CFO,2019-09-03,5,696461.0,Work Life Balance,Manager Issues,1,Maybe,90,6.2,43,Female,1,2
ATT00139,EMP00781,Sales,Senior Sales,2022-02-12,6,967004.0,Competitor Offer,Higher Salary,1,Maybe,60,6.6,45,Male,3,3
ATT00140,EMP00790,Engineering,Tech Lead,2023-01-08,27,1793150.0,Manager Issues,Growth Stagnation,1,Maybe,90,11.6,24,Other,5,1
ATT00141,EMP00794,Sales,Account Manager,2023-07-09,16,808838.0,Work Life Balance,Company Culture,1,Yes,30,7.5,48,Female,2,4
ATT00142,EMP00797,Marketing,SEO Analyst,2020-11-16,44,795436.0,Company Culture,Competitor Offer,1,Yes,60,4.0,24,Male,3,3
ATT00143,EMP00800,Engineering,DevOps Engineer,2023-07-13,45,720781.0,Better Opportunity,Relocation,0,No,90,10.2,52,Male,1,1
ATT00144,EMP00801,Legal,Legal Manager,2023-11-12,33,752611.0,Manager Issues,Competitor Offer,1,Yes,90,8.0,45,Female,1,4
ATT00145,EMP00802,Operations,COO,2024-06-11,16,754425.0,Relocation,Better Opportunity,0,No,90,8.1,45,Male,3,2
ATT00146,EMP00804,Marketing,Content Writer,2022-12-06,30,708709.0,Health Issues,Health Issues,0,Maybe,90,7.4,38,Male,5,5
ATT00147,EMP00805,Product,Product Manager,2020-03-02,40,1529927.0,Relocation,Health Issues,1,Yes,90,19.4,29,Male,5,1
ATT00148,EMP00812,HR,HR Business Partner,2024-10-14,12,811509.0,Personal Reasons,Competitor Offer,1,Yes,60,7.3,24,Female,1,3
ATT00149,EMP00815,Operations,Process Analyst,2023-12-22,48,618137.0,Relocation,Growth Stagnation,1,Yes,60,6.4,24,Male,4,4
ATT00150,EMP00825,Sales,Account Manager,2022-02-26,3,635818.0,Personal Reasons,Relocation,1,Maybe,90,7.1,52,Male,5,2
ATT00151,EMP00827,Sales,Account Manager,2021-05-25,54,595062.0,Relocation,Better Opportunity,1,Yes,60,6.3,37,Female,4,5
ATT00152,EMP00828,Data Analytics,Analytics Manager,2016-11-26,16,3096835.0,Manager Issues,Relocation,0,Yes,30,39.0,39,Female,1,5
ATT00153,EMP00829,HR,Recruiter,2018-12-22,30,837791.0,Company Culture,Work Life Balance,1,Yes,60,5.0,54,Female,1,2
ATT00154,EMP00838,Engineering,Engineering Manager,2022-06-22,59,3125897.0,Manager Issues,Manager Issues,1,Yes,30,36.2,47,Female,2,3
ATT00155,EMP00844,Engineering,Tech Lead,2023-06-19,63,2184682.0,Relocation,Growth Stagnation,1,No,90,23.6,38,Male,4,4
ATT00156,EMP00847,Engineering,Software Engineer,2022-09-03,34,907656.0,Competitor Offer,Growth Stagnation,0,Yes,90,12.3,43,Male,5,3
ATT00157,EMP00849,HR,HR Business Partner,2022-04-21,68,821837.0,Health Issues,Better Opportunity,0,No,90,7.0,43,Female,1,3
ATT00158,EMP00852,Data Analytics,Senior Analyst,2024-08-29,10,1132117.0,Competitor Offer,Company Culture,1,Yes,30,10.3,30,Male,3,1
ATT00159,EMP00863,HR,HR Manager,2019-07-17,5,800670.0,Manager Issues,Higher Salary,0,Maybe,60,7.9,31,Male,5,2
ATT00160,EMP00867,Customer Success,CS Executive,2023-05-26,8,775508.0,Relocation,Work Life Balance,0,Maybe,60,4.5,53,Male,2,2
ATT00161,EMP00872,HR,HR Business Partner,2023-06-20,88,823756.0,Health Issues,Work Life Balance,1,Yes,60,9.9,29,Female,4,5
ATT00162,EMP00890,Legal,General Counsel,2021-12-25,84,686456.0,Personal Reasons,Personal Reasons,0,Maybe,60,9.8,22,Female,4,1
ATT00163,EMP00896,Legal,Company Secretary,2022-11-12,63,771096.0,Manager Issues,Manager Issues,1,Yes,30,5.9,31,Female,5,4
ATT00164,EMP00906,Operations,Process Analyst,2018-12-26,41,789201.0,Relocation,Relocation,0,Maybe,90,5.5,32,Male,3,1
ATT00165,EMP00908,Operations,Operations Manager,2021-08-18,6,617952.0,Health Issues,Competitor Offer,1,Yes,90,6.4,39,Female,3,2
ATT00166,EMP00916,Marketing,Brand Manager,2020-10-10,61,863584.0,Growth Stagnation,Health Issues,0,No,30,9.8,51,Male,2,4
ATT00167,EMP00922,Marketing,Brand Manager,2020-03-17,56,697242.0,Manager Issues,Competitor Offer,1,Maybe,30,6.4,25,Male,3,3
ATT00168,EMP00928,Sales,Sales Executive,2023-12-24,15,541805.0,Manager Issues,Relocation,1,Maybe,60,7.8,31,Female,3,1
ATT00169,EMP00929,Customer Success,CS Director,2021-08-24,6,600575.0,Better Opportunity,Competitor Offer,1,No,60,6.0,30,Male,1,5
ATT00170,EMP00934,Product,VP Product,2024-03-28,64,840700.0,Better Opportunity,Company Culture,0,No,30,6.5,36,Male,2,3
ATT00171,EMP00943,Sales,Account Manager,2024-05-30,14,840711.0,Better Opportunity,Competitor Offer,0,No,90,10.5,44,Female,5,1
ATT00172,EMP00944,Engineering,Engineering Manager,2024-02-25,21,3126935.0,Personal Reasons,Competitor Offer,1,No,60,28.2,43,Male,2,3
ATT00173,EMP00945,Product,VP Product,2020-09-28,43,769311.0,Work Life Balance,Manager Issues,1,Maybe,90,4.8,22,Female,1,1
ATT00174,EMP00946,Sales,Senior Sales,2023-02-22,0,749632.0,Competitor Offer,Relocation,1,Maybe,60,4.6,25,Female,3,3
ATT00175,EMP00960,Marketing,Brand Manager,2021-02-02,28,851394.0,Relocation,Personal Reasons,1,Yes,60,7.5,33,Male,2,4
ATT00176,EMP00961,Finance,Controller,2022-05-10,74,614799.0,Growth Stagnation,Company Culture,1,No,90,9.2,27,Male,4,3
ATT00177,EMP00969,Product,Product Analyst,2023-04-30,18,867835.0,Competitor Offer,Company Culture,1,No,30,5.1,50,Male,2,1
ATT00178,EMP00973,Legal,Company Secretary,2024-10-18,22,771639.0,Relocation,Competitor Offer,1,Yes,30,4.9,51,Male,1,5
ATT00179,EMP00983,Engineering,Engineering Manager,2022-10-28,1,3453535.0,Company Culture,Health Issues,1,Yes,60,31.2,22,Female,3,2
ATT00180,EMP00985,Customer Success,CS Manager,2018-10-25,7,638694.0,Better Opportunity,Higher Salary,1,Yes,60,8.3,32,Male,2,3
ATT00181,EMP00997,Marketing,SEO Analyst,2024-10-07,21,815846.0,Health Issues,Work Life Balance,0,No,60,10.7,23,Female,1,5
ATT00182,EMP01000,Finance,Controller,2022-03-24,4,856080.0,Company Culture,Company Culture,1,Yes,60,5.8,43,Female,2,4
ATT00183,EMP01009,Finance,CFO,2023-01-12,54,822245.0,Company Culture,Work Life Balance,1,Yes,60,5.7,30,Female,1,1
ATT00184,EMP01013,Sales,Sales Executive,2020-11-21,33,471442.0,Relocation,Manager Issues,0,No,30,2.4,39,Male,5,5
ATT00185,EMP01016,HR,HR Executive,2021-12-04,3,387710.0,Company Culture,Company Culture,1,Maybe,90,2.5,52,Female,4,3
ATT00186,EMP01017,Operations,Process Analyst,2020-10-10,12,783282.0,Growth Stagnation,Higher Salary,1,Yes,90,8.8,53,Male,5,4
ATT00187,EMP01018,Engineering,Engineering Manager,2017-02-16,6,2575904.0,Better Opportunity,Higher Salary,1,Yes,30,35.8,33,Male,4,3
ATT00188,EMP01026,Product,Director of Product,2017-04-03,18,607052.0,Personal Reasons,Better Opportunity,0,No,90,3.2,53,Female,1,5
ATT00189,EMP01032,HR,Recruiter,2023-04-04,10,699643.0,Company Culture,Better Opportunity,1,No,30,5.6,34,Other,4,5
ATT00190,EMP01033,Marketing,Marketing Executive,2018-02-12,26,700785.0,Growth Stagnation,Better Opportunity,1,Yes,90,7.6,24,Male,1,5
