training_id,emp_id,department,training_type,training_date,duration_hours,completion_status,score,cost_per_person,trainer_type,certification
TRN00091,EMP00299,Sales,Project Management,2020-09-21,40,Completed,68,10000,Internal,0
TRN00092,EMP01306,Sales,Excel & BI Tools,2020-05-19,40,Completed,63,50000,External,0
TRN00093,EMP00803,Product,Excel & BI Tools,2024-09-20,16,Completed,75,5000,Internal,1
TRN00094,EMP00763,Operations,Communication,2020-04-20,8,In Progress,70,25000,External,0
TRN00095,EMP01567,HR,Data Analysis,2021-06-29,4,Completed,58,15000,External,0
TRN00096,EMP00750,Legal,Leadership,2023-12-14,40,Completed,86,5000,External,0
TRN00097,EMP00514,Finance,Sales Training,2023-08-09,8,Not Started,51,50000,Online,0
TRN00098,EMP01990,Finance,Leadership,2022-08-27,24,Completed,57,25000,Internal,0
TRN00099,EMP01766,Product,Communication,2021-09-20,40,Completed,56,15000,Internal,0
TRN00100,EMP01930,Product,Agile Scrum,2022-06-15,40,Completed,97,15000,External,0
TRN00101,EMP01968,Product,Technical Skills,2022-10-10,8,In Progress,81,10000,External,0
TRN00102,EMP00178,Finance,Sales Training,2021-06-30,24,Not Started,93,5000,External,1
TRN00103,EMP00284,Product,Sales Training,2021-06-02,16,Completed,73,50000,External,0
TRN00104,EMP01130,Sales,Technical Skills,2024-07-29,4,Completed,55,50000,External,1
TRN00105,EMP00498,Legal,Technical Skills,2024-01-19,16,Completed,78,25000,Internal,0
TRN00106,EMP01320,Marketing,Technical Skills,2020-03-23,24,Completed,92,50000,External,0
TRN00107,EMP01282,Engineering,Product Knowledge,2021-07-19,4,In Progress,94,15000,External,0
TRN00108,EMP01205,HR,Sales Training,2020-01-31,4,Completed,98,15000,External,0
TRN00109,EMP01100,Engineering,Technical Skills,2022-01-20,8,Completed,88,50000,Online,0
TRN00110,EMP01885,HR,Data Analysis,2023-01-17,40,Completed,92,10000,External,1
TRN00111,EMP00779,Product,Technical Skills,2021-06-14,4,Completed,92,10000,External,0
TRN00112,EMP00987,Sales,Excel & BI Tools,2021-05-27,4,Completed,80,5000,External,1
TRN00113,EMP01640,Customer Success,Leadership,2021-11-25,8,In Progress,92,10000,External,0
TRN00114,EMP01226,HR,Excel & BI Tools,2020-02-06,40,In Progress,57,10000,External,0
TRN00115,EMP00070,Engineering,Data Analysis,2021-04-20,16,In Progress,100,5000,External,0
TRN00116,EMP01271,Customer Success,Product Knowledge,2022-07-14,8,Completed,72,5000,External,1
TRN00117,EMP01982,Data Analytics,Project Management,2022-07-08,8,Completed,55,10000,Online,1
TRN00118,EMP00335,Finance,Agile Scrum,2023-07-16,4,In Progress,55,15000,Internal,0
TRN00119,EMP01222,Product,Sales Training,2022-03-15,24,Completed,97,5000,External,0
TRN00120,EMP00536,Marketing,Sales Training,2023-02-25,24,Completed,94,15000,Online,1
TRN00121,EMP01762,Engineering,Compliance,2022-02-12,8,In Progress,58,50000,Internal,0
TRN00122,EMP01718,Legal,Technical Skills,2021-06-21,24,Not Started,50,15000,Internal,1
TRN00123,EMP00466,Operations,Sales Training,2024-02-23,40,Not Started,64,50000,Online,0
TRN00124,EMP00256,Customer Success,Compliance,2024-10-19,8,Completed,62,50000,Internal,0
TRN00125,EMP01381,Operations,Communication,2024-12-09,8,Completed,96,15000,Online,0
TRN00126,EMP01978,Engineering,Agile Scrum,2020-03-07,4,Completed,93,10000,Internal,1
TRN00127,EMP00599,Sales,Data Analysis,2022-09-05,40,Completed,62,10000,Internal,0
TRN00128,EMP01560,Legal,Compliance,2022-03-15,40,Completed,78,10000,Online,0
TRN00129,EMP01536,Finance,Communication,2024-04-14,4,Completed,92,10000,Online,1
TRN00130,EMP00867,Customer Success,Communication,2024-03-23,40,Completed,64,15000,Online,0
TRN00131,EMP01494,Finance,Leadership,2022-12-30,8,Completed,89,50000,Internal,0
TRN00132,EMP01844,Sales,Product Knowledge,2023-12-06,4,Completed,83,15000,External,0
TRN00133,EMP01025,Customer Success,Technical Skills,2024-03-13,24,Completed,81,5000,Online,0
TRN00134,EMP00420,Customer Success,Compliance,2023-11-20,16,Completed,72,15000,External,1
TRN00135,EMP01328,Product,Data Analysis,2020-03-29,8,Completed,73,50000,Online,0
TRN00136,EMP01143,Finance,Communication,2024-08-03,16,Completed,96,5000,Internal,0
TRN00137,EMP01076,Customer Success,Project Management,2021-12-27,8,Not Started,87,50000,Online,0
TRN00138,EMP01438,Finance,Communication,2023-06-27,8,Completed,82,10000,External,0
TRN00139,EMP01439,Finance,Sales Training,2021-08-02,8,Completed,62,5000,Internal,1
TRN00140,EMP01402,HR,Data Analysis,2023-11-29,4,Completed,89,15000,External,1
TRN00141,EMP01464,Product,Data Analysis,2021-01-10,4,Completed,62,5000,External,0
TRN00142,EMP00216,Data Analytics,Product Knowledge,2024-09-26,24,Completed,84,50000,External,0
TRN00143,EMP00335,Finance,Sales Training,2023-06-28,40,Completed,78,25000,External,0
TRN00144,EMP00163,Engineering,Leadership,2022-11-15,40,Completed,58,5000,External,0
TRN00145,EMP00026,Engineering,Data Analysis,2020-01-16,24,In Progress,100,15000,Internal,1
TRN00146,EMP01240,Engineering,Compliance,2023-03-29,16,Completed,52,5000,Internal,0
TRN00147,EMP01440,Data Analytics,Communication,2024-08-18,40,Completed,57,15000,Internal,1
TRN00148,EMP01759,HR,Excel & BI Tools,2021-12-10,24,In Progress,95,50000,Online,1
TRN00149,EMP00047,HR,Data Analysis,2023-04-27,8,Completed,84,5000,External,0
TRN00150,EMP00712,Legal,Communication,2020-05-28,24,Not Started,79,10000,Internal,1
TRN00151,EMP00259,Product,Project Management,2023-06-15,8,Completed,87,10000,Internal,0
TRN00152,EMP00006,HR,Leadership,2022-01-22,40,In Progress,51,10000,Online,0
TRN00153,EMP01526,Customer Success,Excel & BI Tools,2020-12-14,4,Completed,72,5000,External,0
TRN00154,EMP01912,Data Analytics,Product Knowledge,2021-12-03,16,Completed,87,50000,Online,1
TRN00155,EMP01383,HR,Agile Scrum,2022-09-17,4,Completed,90,50000,External,1
TRN00156,EMP01149,Marketing,Project Management,2020-07-23,16,Completed,60,25000,External,0
TRN00157,EMP00613,Customer Success,Data Analysis,2020-09-05,40,Completed,80,15000,External,0
TRN00158,EMP00599,Sales,Data Analysis,2020-04-07,8,Completed,100,10000,Online,1
TRN00159,EMP01910,Operations,Project Management,2020-06-09,8,Completed,67,10000,External,0
TRN00160,EMP00301,Product,Leadership,2021-03-16,40,Not Started,100,5000,Online,0
TRN00161,EMP01588,Marketing,Excel & BI Tools,2024-11-01,24,In Progress,82,50000,Internal,0
TRN00162,EMP01869,Sales,Technical Skills,2024-11-09,4,Completed,62,5000,External,0
TRN00163,EMP00556,Data Analytics,Technical Skills,2021-07-04,24,In Progress,98,15000,Online,0
TRN00164,EMP00824,Customer Success,Agile Scrum,2021-03-19,24,Completed,59,15000,External,0
TRN00165,EMP01254,HR,Agile Scrum,2020-09-13,40,Completed,99,15000,Internal,0
TRN00166,EMP00058,Sales,Technical Skills,2020-07-11,16,Completed,89,15000,Online,0
TRN00167,EMP00414,Engineering,Product Knowledge,2021-06-17,8,In Progress,54,10000,Internal,1
TRN00168,EMP00325,Finance,Technical Skills,2024-02-25,4,Completed,50,50000,Internal,1
TRN00169,EMP00793,Sales,Sales Training,2020-02-06,4,Completed,65,5000,Internal,1
TRN00170,EMP00666,Customer Success,Project Management,2020-02-19,24,Completed,81,5000,Internal,0
TRN00171,EMP00815,Operations,Communication,2022-12-24,40,Completed,86,25000,Internal,1
TRN00172,EMP01427,Legal,Sales Training,2024-09-08,8,In Progress,55,5000,External,1
TRN00173,EMP01093,Sales,Sales Training,2020-11-14,4,Completed,71,5000,Internal,1
TRN00174,EMP01821,Finance,Project Management,2020-05-15,40,Not Started,88,25000,External,0
TRN00175,EMP01533,Sales,Communication,2024-10-05,4,Completed,86,15000,Online,0
TRN00176,EMP01105,Customer Success,Sales Training,2023-01-30,40,Not Started,71,15000,Internal,0
TRN00177,EMP01515,Operations,Compliance,2024-05-02,16,Completed,86,50000,Internal,1
TRN00178,EMP01676,Sales,Excel & BI Tools,2021-07-12,24,Completed,57,25000,External,1
TRN00179,EMP01961,Legal,Communication,2022-01-02,8,Completed,86,5000,Online,0
TRN00180,EMP00510,Operations,Leadership,2023-11-04,40,Completed,55,5000,Internal,0
TRN00181,EMP00018,Finance,Agile Scrum,2024-06-13,8,Completed,69,5000,External,1
TRN00182,EMP01634,Legal,Compliance,2021-10-25,16,Completed,82,5000,External,0
TRN00183,EMP01182,Marketing,Product Knowledge,2021-11-03,16,Not Started,77,50000,Online,0
TRN00184,EMP01561,Engineering,Product Knowledge,2024-10-24,8,Completed,85,50000,Online,0
TRN00185,EMP01151,Operations,Sales Training,2020-02-05,16,Completed,66,50000,Online,1
TRN00186,EMP01488,Data Analytics,Product Knowledge,2023-07-17,8,Completed,94,5000,Online,0
TRN00187,EMP01534,Engineering,Sales Training,2023-07-18,16,In Progress,64,10000,External,0
TRN00188,EMP01444,Operations,Excel & BI Tools,2021-08-25,16,In Progress,100,5000,External,1
TRN00189,EMP00738,Sales,Leadership,2021-03-16,24,Completed,65,5000,External,0
TRN00190,EMP01352,Legal,Communication,2022-08-11,24,Completed,53,10000,External,0
TRN00191,EMP00213,Product,Project Management,2022-04-30,4,In Progress,84,5000,External,1
TRN00192,EMP01973,Product,Leadership,2020-10-03,16,Completed,54,10000,Internal,0
TRN00193,EMP00126,Sales,Agile Scrum,2023-01-01,8,Completed,84,10000,External,0
TRN00194,EMP01315,Product,Sales Training,2024-11-18,40,Completed,58,25000,External,1
TRN00195,EMP00858,Sales,Sales Training,2023-02-03,16,Completed,94,50000,Internal,1
TRN00196,EMP00672,Product,Product Knowledge,2020-11-20,8,Completed,99,5000,Internal,0
TRN00197,EMP01404,HR,Data Analysis,2024-10-10,40,Completed,79,50000,Internal,0
TRN00198,EMP01806,Sales,Leadership,2021-10-14,40,Not Started,80,10000,Online,1
TRN00199,EMP00531,HR,Compliance,2023-02-21,8,Completed,74,10000,External,1
TRN00200,EMP01142,Product,Leadership,2024-09-09,16,Completed,68,15000,External,0
TRN00201,EMP01267,Marketing,Leadership,2024-02-18,40,Completed,77,5000,Internal,1
TRN00202,EMP01463,Customer Success,Leadership,2024-06-02,16,Completed,97,15000,External,0
TRN00203,EMP00852,Data Analytics,Communication,2022-11-26,4,In Progress,54,25000,Internal,0
TRN00204,EMP00368,Engineering,Project Management,2022-01-07,8,Completed,74,10000,Online,0
TRN00205,EMP01780,Sales,Technical Skills,2024-10-18,24,Completed,88,10000,Internal,0
TRN00206,EMP00375,Operations,Technical Skills,2021-09-30,24,Completed,91,50000,Internal,1
TRN00207,EMP00469,Product,Data Analysis,2024-11-25,8,Not Started,79,5000,Internal,0
TRN00208,EMP01841,Sales,Sales Training,2023-10-22,8,Completed,97,10000,Internal,1
TRN00209,EMP00068,Engineering,Sales Training,2023-03-30,40,Completed,93,10000,Online,1
TRN00210,EMP00517,Sales,Data Analysis,2024-02-18,24,In Progress,100,5000,External,0
TRN00211,EMP01089,Marketing,Communication,2020-07-14,40,Completed,67,25000,External,0
TRN00212,EMP00011,Data Analytics,Communication,2024-06-13,24,Completed,85,10000,External,1
TRN00213,EMP00105,Sales,Communication,2021-04-15,24,Completed,82,25000,Internal,0
TRN00214,EMP01502,Sales,Compliance,2021-06-27,8,Completed,71,15000,Internal,0
TRN00215,EMP01721,Product,Data Analysis,2023-02-09,16,Not Started,85,5000,Internal,1
TRN00216,EMP01374,Engineering,Communication,2020-08-28,4,Completed,73,15000,Online,0
TRN00217,EMP00849,HR,Data Analysis,2020-03-05,24,In Progress,78,15000,Online,0
TRN00218,EMP01341,Sales,Compliance,2024-08-19,8,Completed,86,25000,External,0
TRN00219,EMP00175,HR,Product Knowledge,2023-07-29,40,Completed,78,5000,Online,1
TRN00220,EMP00137,Product,Communication,2024-10-17,4,Completed,86,15000,External,1
TRN00221,EMP01327,Data Analytics,Product Knowledge,2022-05-09,8,Completed,96,5000,External,0
TRN00222,EMP00478,Data Analytics,Data Analysis,2020-12-04,16,Completed,88,15000,External,1
TRN00223,EMP01943,HR,Sales Training,2024-01-19,40,Completed,51,10000,Online,0
TRN00224,EMP00072,Sales,Project Management,2020-08-03,8,Completed,97,50000,Internal,0
TRN00225,EMP01875,Product,Project Management,2024-06-10,24,Completed,96,50000,Online,0
TRN00226,EMP01054,Marketing,Excel & BI Tools,2024-12-22,16,Completed,50,5000,External,0
TRN00227,EMP00987,Sales,Project Management,2024-09-29,8,Completed,96,5000,Internal,0
TRN00228,EMP00660,Operations,Compliance,2024-11-17,4,Completed,79,50000,Online,1
TRN00229,EMP00346,Customer Success,Communication,2020-05-15,40,Completed,53,10000,Internal,0
TRN00230,EMP01426,Legal,Technical Skills,2020-07-16,24,In Progress,94,25000,Internal,0
TRN00231,EMP01581,HR,Product Knowledge,2024-09-22,40,In Progress,89,50000,Internal,0
TRN00232,EMP01989,Legal,Agile Scrum,2021-05-21,4,Completed,67,25000,Internal,1
TRN00233,EMP01876,Finance,Product Knowledge,2021-10-06,24,Completed,78,5000,Internal,0
TRN00234,EMP01042,Customer Success,Data Analysis,2021-04-08,24,In Progress,82,25000,Internal,1
TRN00235,EMP00863,HR,Project Management,2024-05-01,24,Completed,91,50000,External,1
TRN00236,EMP00064,Finance,Technical Skills,2024-01-15,40,Completed,50,5000,Internal,1
TRN00237,EMP00140,Legal,Compliance,2021-03-19,16,Completed,60,10000,External,1
TRN00238,EMP00727,Legal,Product Knowledge,2020-11-15,16,Completed,86,50000,Internal,0
TRN00239,EMP01042,Customer Success,Communication,2023-03-04,16,Completed,76,15000,Internal,1
TRN00240,EMP01069,Data Analytics,Communication,2022-10-26,24,Not Started,58,15000,Internal,1
TRN00241,EMP01309,Engineering,Excel & BI Tools,2023-05-05,24,Not Started,87,25000,Online,0
TRN00242,EMP01052,Marketing,Technical Skills,2022-04-06,16,Completed,92,50000,Internal,0
TRN00243,EMP00788,Engineering,Excel & BI Tools,2024-01-05,40,Completed,91,25000,Internal,1
TRN00244,EMP00426,Data Analytics,Sales Training,2023-05-20,40,Not Started,63,15000,Internal,0
TRN00245,EMP00061,Customer Success,Leadership,2020-09-10,8,In Progress,79,50000,Online,0
TRN00246,EMP01837,Data Analytics,Technical Skills,2023-01-01,40,Completed,76,50000,External,0
TRN00247,EMP00514,Finance,Communication,2024-03-02,40,Completed,100,15000,Online,1
TRN00248,EMP00644,Data Analytics,Compliance,2024-01-19,24,In Progress,51,5000,Online,0
TRN00249,EMP01876,Finance,Data Analysis,2021-06-17,40,In Progress,78,25000,Online,0
TRN00250,EMP00815,Operations,Excel & BI Tools,2024-04-17,4,Completed,63,50000,Internal,0
TRN00251,EMP01225,Engineering,Project Management,2024-07-07,16,Completed,57,50000,External,1
TRN00252,EMP00765,Customer Success,Technical Skills,2023-08-27,40,Completed,66,50000,Online,0
TRN00253,EMP00910,Marketing,Agile Scrum,2020-07-11,40,Completed,90,50000,Internal,0
TRN00254,EMP00429,Product,Compliance,2023-10-17,8,In Progress,67,10000,External,1
TRN00255,EMP01903,Sales,Project Management,2022-06-08,40,Completed,99,10000,Online,0
TRN00256,EMP01302,Sales,Excel & BI Tools,2023-06-20,16,Completed,99,15000,Online,1
TRN00257,EMP01589,Engineering,Data Analysis,2022-10-22,40,Not Started,68,10000,Online,0
TRN00258,EMP00831,Engineering,Communication,2022-04-28,16,Completed,63,15000,Internal,0
TRN00259,EMP01008,Customer Success,Product Knowledge,2022-01-29,8,Completed,86,25000,Online,0
TRN00260,EMP01813,Product,Sales Training,2023-11-17,4,Completed,81,15000,Internal,0
TRN00261,EMP01713,Customer Success,Product Knowledge,2024-11-30,16,Completed,69,15000,Internal,0
TRN00262,EMP00283,Finance,Data Analysis,2020-07-31,4,Completed,64,50000,Internal,0
TRN00263,EMP00044,Finance,Communication,2022-01-20,8,Completed,59,5000,Online,1
TRN00264,EMP01216,Sales,Agile Scrum,2020-10-02,40,Completed,56,5000,External,0
TRN00265,EMP01800,Sales,Sales Training,2020-05-24,16,Completed,89,50000,Online,0
TRN00266,EMP01575,Sales,Communication,2023-04-11,4,Completed,96,10000,Online,0
TRN00267,EMP00238,Product,Technical Skills,2022-12-10,4,Completed,60,50000,External,0
TRN00268,EMP01602,Engineering,Compliance,2021-09-06,4,Completed,75,5000,Online,1
TRN00269,EMP01044,Operations,Sales Training,2022-01-17,16,In Progress,55,50000,External,0
TRN00270,EMP01339,Engineering,Sales Training,2022-01-31,40,Completed,91,10000,External,0
TRN00271,EMP00217,Marketing,Data Analysis,2021-06-18,16,Not Started,73,25000,Internal,0
TRN00272,EMP00502,Engineering,Data Analysis,2022-08-19,24,Completed,71,50000,Internal,0
TRN00273,EMP01708,Marketing,Project Management,2024-12-02,24,Completed,100,5000,External,1
TRN00274,EMP01217,Engineering,Excel & BI Tools,2021-12-25,24,Completed,53,50000,External,0
TRN00275,EMP00619,Product,Technical Skills,2024-10-23,4,Completed,68,5000,Online,0
TRN00276,EMP00921,Product,Product Knowledge,2020-03-01,4,Completed,97,50000,Online,1
TRN00277,EMP01759,HR,Project Management,2023-12-19,8,Not Started,54,50000,Online,0
TRN00278,EMP01160,HR,Data Analysis,2020-08-25,8,Not Started,93,50000,Online,0
TRN00279,EMP01292,Product,Project Management,2023-10-26,24,Completed,74,25000,External,1
TRN00280,EMP00619,Product,Excel & BI Tools,2020-03-16,16,Completed,95,50000,Online,0
TRN00281,EMP01080,Engineering,Communication,2020-04-02,16,Completed,79,10000,Online,0
TRN00282,EMP01215,Legal,Excel & BI Tools,2023-07-06,16,In Progress,55,5000,External,0
TRN00283,EMP00518,Legal,Sales Training,2022-02-02,24,Completed,84,10000,Internal,0
TRN00284,EMP00249,Legal,Technical Skills,2021-05-22,8,Completed,66,10000,Online,1
TRN00285,EMP01868,HR,Technical Skills,2024-08-01,24,Completed,82,5000,Online,1
TRN00286,EMP00244,Marketing,Excel & BI Tools,2020-02-24,24,Completed,97,5000,External,1
TRN00287,EMP01784,Engineering,Excel & BI Tools,2022-04-29,24,In Progress,88,50000,Internal,0
TRN00288,EMP00605,Sales,Agile Scrum,2020-10-21,4,Not Started,63,25000,External,0
TRN00289,EMP00873,Sales,Sales Training,2021-12-01,24,Completed,55,25000,Internal,1
TRN00290,EMP01180,Customer Success,Leadership,2022-10-01,8,Completed,95,10000,Online,0
TRN00291,EMP00126,Sales,Sales Training,2022-08-27,4,Completed,67,10000,Internal,0
TRN00292,EMP01155,Data Analytics,Leadership,2022-11-10,40,Completed,74,15000,Online,0
TRN00293,EMP00759,Data Analytics,Technical Skills,2023-07-21,16,Completed,58,25000,Online,0
TRN00294,EMP00539,Sales,Communication,2020-10-22,16,Not Started,86,50000,Internal,1
TRN00295,EMP01489,Finance,Technical Skills,2020-03-08,40,Completed,100,5000,Online,1
TRN00296,EMP00098,Legal,Project Management,2024-03-20,40,In Progress,50,25000,Online,0
TRN00297,EMP01017,Operations,Communication,2020-03-27,40,Completed,51,15000,Online,1
TRN00298,EMP01173,Sales,Excel & BI Tools,2024-09-15,16,Completed,88,15000,Internal,1
TRN00299,EMP00377,HR,Communication,2022-11-13,8,Completed,65,25000,External,0
TRN00300,EMP01864,Marketing,Project Management,2021-05-03,40,Completed,80,50000,External,1
TRN00301,EMP01279,Marketing,Leadership,2023-01-24,16,Completed,64,5000,Online,0
