review_id,emp_id,review_year,review_quarter,kpi_score,goal_completion_pct,manager_rating,peer_rating,self_rating,promotion_flag,increment_pct,department
REV0000026,EMP00008,2022,Q2,2.1,64,4,3,4,1,5.8,Product
REV0000027,EMP00008,2023,Q4,3.7,91,5,5,5,0,9.8,Product
REV0000028,EMP00009,2020,Q2,2.8,92,3,4,3,0,11.1,Engineering
REV0000029,EMP00009,2021,Q1,3.1,73,3,5,3,0,13.4,Engineering
REV0000030,EMP00010,2020,Q1,3.3,83,3,5,4,1,13.6,Data Analytics
REV0000031,EMP00010,2021,Q4,3.8,76,2,3,3,0,19.6,Data Analytics
REV0000032,EMP00010,2022,Q3,3.4,98,3,5,4,0,7.0,Data Analytics
REV0000033,EMP00010,2023,Q4,4.6,85,3,4,4,0,14.6,Data Analytics
REV0000034,EMP00010,2024,Q1,4.0,85,3,3,2,0,21.7,Data Analytics
REV0000035,EMP00011,2020,Q4,3.1,93,4,4,4,0,21.1,Data Analytics
REV0000036,EMP00011,2021,Q1,5.0,51,3,4,4,0,11.7,Data Analytics
REV0000037,EMP00011,2022,Q2,3.7,65,4,3,3,0,9.4,Data Analytics
REV0000038,EMP00011,2023,Q1,4.8,73,3,3,3,1,7.9,Data Analytics
REV0000039,EMP00011,2024,Q4,4.4,73,3,3,2,0,9.1,Data Analytics
REV0000040,EMP00012,2020,Q3,3.3,62,3,4,2,0,27.7,Operations
REV0000041,EMP00013,2020,Q1,4.7,97,3,5,3,0,12.9,Product
REV0000042,EMP00013,2021,Q1,3.0,76,3,3,4,0,20.9,Product
REV0000043,EMP00013,2022,Q1,2.8,75,3,4,3,0,11.4,Product
REV0000044,EMP00013,2023,Q3,4.3,69,3,4,5,0,9.1,Product
REV0000045,EMP00014,2020,Q3,3.9,52,4,5,2,1,23.1,Marketing
REV0000046,EMP00014,2021,Q1,2.9,55,4,4,4,1,26.3,Marketing
REV0000047,EMP00014,2022,Q1,3.4,77,2,4,3,0,23.4,Marketing
REV0000048,EMP00014,2023,Q2,3.1,68,5,4,5,0,4.5,Marketing
REV0000049,EMP00014,2024,Q2,3.3,58,4,3,5,0,16.3,Marketing
REV0000050,EMP00015,2020,Q2,2.5,51,3,4,3,0,5.2,HR
REV0000051,EMP00015,2021,Q4,3.5,78,3,5,3,0,19.2,HR
REV0000052,EMP00015,2022,Q3,2.5,96,4,3,4,0,27.3,HR
REV0000053,EMP00015,2023,Q3,2.0,76,3,2,3,0,11.6,HR
REV0000054,EMP00015,2024,Q4,4.7,59,2,3,2,0,13.6,HR
REV0000055,EMP00016,2020,Q3,4.9,97,4,3,3,0,18.2,Finance
REV0000056,EMP00016,2021,Q4,2.4,55,4,2,4,0,27.2,Finance
REV0000057,EMP00016,2022,Q2,3.5,82,3,3,5,0,12.0,Finance
REV0000058,EMP00017,2020,Q2,3.8,63,5,2,4,0,7.8,Engineering
REV0000059,EMP00017,2021,Q2,4.9,65,4,4,2,0,4.9,Engineering
REV0000060,EMP00017,2022,Q2,3.0,87,3,4,4,0,19.3,Engineering
REV0000061,EMP00017,2023,Q1,2.4,72,4,4,4,0,11.4,Engineering
REV0000062,EMP00017,2024,Q2,4.3,76,4,3,5,0,4.6,Engineering
REV0000063,EMP00018,2020,Q3,3.4,53,2,4,3,0,26.8,Finance
REV0000064,EMP00018,2021,Q3,2.6,89,4,3,4,0,4.4,Finance
REV0000065,EMP00018,2022,Q3,3.1,78,4,4,4,0,25.3,Finance
REV0000066,EMP00019,2020,Q3,3.8,58,5,1,5,0,4.9,Marketing
REV0000067,EMP00019,2021,Q3,4.5,89,4,4,4,0,14.2,Marketing
REV0000068,EMP00019,2022,Q4,4.3,53,5,5,4,0,28.3,Marketing
REV0000069,EMP00019,2023,Q1,3.0,67,3,1,5,1,5.1,Marketing
REV0000070,EMP00019,2024,Q4,2.8,74,3,5,3,0,13.5,Marketing
REV0000071,EMP00020,2020,Q4,4.3,83,5,4,3,0,16.5,Legal
REV0000072,EMP00020,2021,Q2,3.6,98,3,4,4,1,19.0,Legal
REV0000073,EMP00020,2022,Q2,2.2,60,3,3,4,0,14.5,Legal
REV0000074,EMP00020,2023,Q2,2.4,85,3,4,5,0,6.3,Legal
REV0000075,EMP00020,2024,Q2,2.1,76,3,5,3,0,20.9,Legal
REV0000076,EMP00021,2020,Q4,4.9,65,4,2,4,0,4.1,Data Analytics
REV0000077,EMP00021,2021,Q1,4.3,50,4,5,3,0,12.1,Data Analytics
REV0000078,EMP00021,2022,Q4,2.0,50,4,3,3,0,23.6,Data Analytics
REV0000079,EMP00021,2023,Q4,2.5,72,2,5,3,0,14.6,Data Analytics
REV0000080,EMP00021,2024,Q4,3.0,56,4,3,3,0,3.8,Data Analytics
REV0000081,EMP00022,2020,Q2,3.2,82,5,2,5,0,15.0,Finance
REV0000082,EMP00022,2021,Q1,3.1,76,4,4,4,0,27.7,Finance
REV0000083,EMP00022,2022,Q2,2.2,78,4,4,5,0,22.3,Finance
REV0000084,EMP00023,2020,Q1,2.6,72,5,4,1,0,16.3,Finance
REV0000085,EMP00023,2021,Q2,4.9,91,3,3,4,0,25.5,Finance
REV0000086,EMP00023,2022,Q1,4.2,67,4,3,4,0,23.4,Finance
REV0000087,EMP00023,2023,Q2,4.6,79,3,3,3,0,22.0,Finance
REV0000088,EMP00024,2020,Q3,4.6,88,5,3,3,0,21.7,Finance
REV0000089,EMP00024,2021,Q2,2.2,99,3,3,4,0,4.2,Finance
REV0000090,EMP00024,2022,Q4,3.1,66,3,3,4,1,11.0,Finance
REV0000091,EMP00024,2023,Q3,4.3,82,4,3,4,0,23.1,Finance
REV0000092,EMP00025,2020,Q2,4.4,76,4,3,3,0,8.7,Product
REV0000093,EMP00025,2021,Q3,2.4,76,3,2,5,0,15.5,Product
REV0000094,EMP00025,2022,Q3,4.6,76,3,2,3,0,27.0,Product
REV0000095,EMP00025,2023,Q4,2.3,52,3,3,4,0,17.0,Product
REV0000096,EMP00025,2024,Q4,4.0,97,5,4,5,0,18.8,Product
REV0000097,EMP00026,2020,Q1,4.8,63,5,4,3,1,29.3,Engineering
REV0000098,EMP00026,2021,Q2,2.5,70,3,4,2,0,18.1,Engineering
REV0000099,EMP00026,2022,Q2,4.2,90,1,5,3,0,15.1,Engineering
REV0000100,EMP00026,2023,Q2,3.5,69,4,4,4,0,16.9,Engineering
REV0000101,EMP00026,2024,Q3,2.4,75,3,3,3,0,17.9,Engineering
REV0000102,EMP00027,2020,Q3,3.9,91,3,1,3,1,7.8,HR
REV0000103,EMP00027,2021,Q2,2.3,77,3,4,4,0,9.3,HR
REV0000104,EMP00027,2022,Q4,2.5,93,3,3,4,0,9.0,HR
REV0000105,EMP00028,2020,Q4,4.5,76,4,4,3,0,14.6,Operations
REV0000106,EMP00028,2021,Q2,4.0,96,3,4,2,0,21.4,Operations
REV0000107,EMP00028,2022,Q2,3.6,92,3,4,3,0,11.7,Operations
REV0000108,EMP00028,2023,Q1,4.3,68,3,4,3,0,10.6,Operations
REV0000109,EMP00028,2024,Q4,2.5,56,4,5,1,0,11.8,Operations
REV0000110,EMP00029,2020,Q1,3.2,71,3,3,4,0,26.1,Data Analytics
REV0000111,EMP00030,2020,Q2,4.2,73,4,3,4,0,18.6,Product
REV0000112,EMP00030,2021,Q1,3.4,67,3,4,4,0,23.9,Product
REV0000113,EMP00030,2022,Q3,3.1,62,4,4,4,1,15.6,Product
REV0000114,EMP00030,2023,Q1,3.4,63,4,4,4,0,4.8,Product
REV0000115,EMP00030,2024,Q2,2.8,53,3,4,4,0,9.3,Product
REV0000116,EMP00031,2020,Q1,2.7,87,2,3,4,0,22.3,Data Analytics
REV0000117,EMP00031,2021,Q3,4.9,87,4,5,3,0,15.6,Data Analytics
REV0000118,EMP00031,2022,Q2,2.3,75,4,2,5,0,21.4,Data Analytics
REV0000119,EMP00031,2023,Q1,3.1,77,3,3,4,0,19.9,Data Analytics
REV0000120,EMP00031,2024,Q3,2.7,64,4,3,5,0,27.9,Data Analytics
REV0000121,EMP00032,2020,Q4,3.7,54,1,2,4,0,5.1,Finance
REV0000122,EMP00032,2021,Q1,4.4,61,5,2,4,1,27.8,Finance
REV0000123,EMP00032,2022,Q2,3.0,91,2,3,2,1,5.8,Finance
REV0000124,EMP00033,2020,Q2,4.8,53,4,5,4,0,12.4,Sales
REV0000125,EMP00033,2021,Q4,3.0,70,3,4,4,1,16.0,Sales
REV0000126,EMP00033,2022,Q3,3.4,92,5,3,5,0,7.0,Sales
REV0000127,EMP00033,2023,Q2,2.3,50,5,5,3,0,28.2,Sales
REV0000128,EMP00033,2024,Q2,2.2,90,3,3,4,0,24.0,Sales
REV0000129,EMP00034,2020,Q2,4.0,78,1,5,3,0,26.1,Product
REV0000130,EMP00034,2021,Q2,3.1,94,4,2,4,0,26.4,Product
REV0000131,EMP00035,2020,Q1,3.9,82,4,4,4,0,13.1,Customer Success
REV0000132,EMP00035,2021,Q2,4.9,73,3,3,4,1,3.2,Customer Success
REV0000133,EMP00035,2022,Q2,4.0,74,3,2,5,1,28.5,Customer Success
REV0000134,EMP00035,2023,Q2,3.2,61,3,4,4,0,10.8,Customer Success
REV0000135,EMP00035,2024,Q4,4.1,96,5,4,3,0,12.6,Customer Success
REV0000136,EMP00036,2020,Q4,3.5,59,3,3,4,0,27.7,Operations
REV0000137,EMP00036,2021,Q3,2.1,90,5,4,5,0,18.0,Operations
REV0000138,EMP00036,2022,Q2,4.6,87,4,3,5,0,4.3,Operations
REV0000139,EMP00036,2023,Q3,4.7,88,5,4,4,0,16.4,Operations
REV0000140,EMP00036,2024,Q4,2.6,100,3,3,4,0,12.0,Operations
REV0000141,EMP00037,2020,Q2,2.6,84,5,5,4,0,10.0,Finance
REV0000142,EMP00038,2020,Q1,2.7,90,3,5,4,1,16.7,Legal
REV0000143,EMP00038,2021,Q1,4.5,78,3,5,3,0,4.4,Legal
REV0000144,EMP00038,2022,Q3,4.7,57,3,2,4,0,7.5,Legal
REV0000145,EMP00038,2023,Q2,2.9,84,3,1,2,0,10.5,Legal
REV0000146,EMP00038,2024,Q2,2.4,93,4,2,4,0,17.2,Legal
REV0000147,EMP00039,2020,Q3,3.1,50,2,2,4,0,18.3,Operations
REV0000148,EMP00039,2021,Q1,2.6,68,4,3,5,0,5.7,Operations
REV0000149,EMP00039,2022,Q3,3.2,78,4,4,2,0,14.3,Operations
REV0000150,EMP00039,2023,Q4,3.4,79,5,4,5,0,27.4,Operations
REV0000151,EMP00039,2024,Q4,4.7,53,5,3,4,0,5.5,Operations
REV0000152,EMP00040,2020,Q3,2.7,70,3,1,3,0,4.6,Sales
REV0000153,EMP00040,2021,Q3,3.4,83,3,3,5,0,15.7,Sales
REV0000154,EMP00040,2022,Q3,3.3,71,4,3,4,0,6.9,Sales
REV0000155,EMP00040,2023,Q3,4.8,56,3,4,3,0,5.2,Sales
REV0000156,EMP00040,2024,Q1,2.4,91,2,4,1,0,19.8,Sales
REV0000157,EMP00041,2020,Q2,2.4,82,1,5,4,1,15.6,Sales
REV0000158,EMP00041,2021,Q4,4.8,71,4,2,4,0,6.2,Sales
REV0000159,EMP00041,2022,Q4,4.7,94,3,3,4,0,15.3,Sales
REV0000160,EMP00042,2020,Q4,3.5,95,5,2,5,1,23.5,Engineering
REV0000161,EMP00042,2021,Q2,3.3,66,5,4,5,1,9.4,Engineering
REV0000162,EMP00042,2022,Q3,4.5,69,2,4,2,0,7.2,Engineering
REV0000163,EMP00042,2023,Q1,2.5,70,5,3,4,1,19.2,Engineering
REV0000164,EMP00042,2024,Q1,4.9,94,3,4,4,0,24.4,Engineering
REV0000165,EMP00043,2020,Q3,3.0,86,2,1,4,0,7.2,Marketing
REV0000166,EMP00043,2021,Q4,3.5,72,5,3,3,0,8.2,Marketing
REV0000167,EMP00043,2022,Q4,4.9,55,3,2,3,1,27.6,Marketing
REV0000168,EMP00044,2020,Q4,2.2,68,5,3,4,0,14.1,Finance
REV0000169,EMP00044,2021,Q4,3.7,84,4,4,3,0,5.4,Finance
REV0000170,EMP00044,2022,Q4,5.0,57,4,3,5,0,25.9,Finance
REV0000171,EMP00044,2023,Q3,3.5,76,3,3,5,0,12.6,Finance
REV0000172,EMP00045,2020,Q2,4.8,83,4,4,3,0,21.2,Product
REV0000173,EMP00045,2021,Q1,4.5,51,3,4,4,0,22.6,Product
REV0000174,EMP00045,2022,Q4,2.3,93,3,3,4,0,13.6,Product
REV0000175,EMP00046,2020,Q3,3.5,63,4,4,4,0,27.4,Engineering
REV0000176,EMP00046,2021,Q2,4.1,90,3,4,4,0,27.4,Engineering
REV0000177,EMP00046,2022,Q1,2.9,94,4,2,4,0,20.4,Engineering
REV0000178,EMP00046,2023,Q4,3.2,61,5,3,4,0,4.6,Engineering
REV0000179,EMP00047,2020,Q2,4.4,55,5,3,5,1,7.5,HR
REV0000180,EMP00047,2021,Q4,3.7,77,4,4,3,0,11.8,HR
REV0000181,EMP00047,2022,Q4,4.3,96,4,3,4,0,13.0,HR
REV0000182,EMP00047,2023,Q4,2.3,52,4,5,3,0,11.1,HR
REV0000183,EMP00048,2020,Q3,2.7,58,3,3,5,0,13.4,Customer Success
REV0000184,EMP00048,2021,Q4,3.4,68,4,3,4,0,23.7,Customer Success
REV0000185,EMP00049,2020,Q1,3.4,82,2,4,3,0,28.4,Product
REV0000186,EMP00049,2021,Q1,2.2,51,4,4,5,0,25.4,Product
REV0000187,EMP00049,2022,Q2,2.8,59,4,5,3,0,15.1,Product
REV0000188,EMP00049,2023,Q1,3.3,88,4,3,2,0,12.7,Product
REV0000189,EMP00049,2024,Q3,3.5,98,2,4,5,0,3.3,Product
REV0000190,EMP00050,2020,Q3,3.0,83,3,4,5,1,13.0,Finance
REV0000191,EMP00050,2021,Q1,2.1,57,3,3,3,0,4.0,Finance
REV0000192,EMP00050,2022,Q1,4.3,73,2,2,3,0,15.7,Finance
REV0000193,EMP00051,2020,Q4,2.9,60,5,3,3,0,28.3,Legal
REV0000194,EMP00051,2021,Q2,4.6,72,3,5,5,1,22.2,Legal
REV0000195,EMP00052,2020,Q3,2.0,80,3,3,4,0,25.0,HR
REV0000196,EMP00052,2021,Q2,2.4,94,4,5,2,0,25.8,HR
REV0000197,EMP00053,2020,Q2,2.0,88,4,4,5,0,26.7,Legal
REV0000198,EMP00053,2021,Q3,2.9,62,1,4,3,0,14.7,Legal
REV0000199,EMP00053,2022,Q4,2.8,98,5,4,4,0,12.0,Legal
REV0000200,EMP00054,2020,Q1,2.4,70,4,4,4,0,19.9,HR
REV0000201,EMP00054,2021,Q4,4.6,69,3,3,4,0,8.2,HR
REV0000202,EMP00054,2022,Q1,3.2,95,4,4,3,0,24.7,HR
REV0000203,EMP00054,2023,Q3,3.9,66,5,5,3,0,14.5,HR
REV0000204,EMP00055,2020,Q3,2.4,70,2,4,4,0,20.5,Product
REV0000205,EMP00055,2021,Q2,4.3,71,3,3,4,0,29.3,Product
REV0000206,EMP00055,2022,Q3,3.0,71,3,4,4,0,7.4,Product
REV0000207,EMP00055,2023,Q1,2.9,86,2,4,2,0,25.7,Product
REV0000208,EMP00055,2024,Q4,4.7,76,4,3,5,0,12.9,Product
REV0000209,EMP00056,2020,Q1,3.2,50,4,3,4,0,9.7,HR
REV0000210,EMP00056,2021,Q4,2.8,63,4,3,4,0,6.5,HR
REV0000211,EMP00056,2022,Q4,2.7,96,3,4,3,0,29.1,HR
REV0000212,EMP00057,2020,Q4,2.0,91,1,4,4,1,17.3,Legal
REV0000213,EMP00057,2021,Q1,2.1,56,3,1,4,1,29.9,Legal
REV0000214,EMP00057,2022,Q4,2.4,97,4,4,3,1,27.1,Legal
REV0000215,EMP00057,2023,Q1,3.1,93,3,4,4,0,21.1,Legal
REV0000216,EMP00058,2020,Q4,2.9,83,4,5,4,0,7.4,Sales
REV0000217,EMP00058,2021,Q4,3.4,89,3,3,4,0,4.5,Sales
REV0000218,EMP00058,2022,Q2,3.5,73,3,4,5,0,12.8,Sales
REV0000219,EMP00058,2023,Q3,4.9,99,5,4,5,0,10.0,Sales
REV0000220,EMP00058,2024,Q2,2.6,54,3,4,3,0,16.3,Sales
REV0000221,EMP00059,2020,Q2,2.9,57,4,3,1,0,20.0,Marketing
REV0000222,EMP00059,2021,Q1,3.9,58,5,3,3,1,24.7,Marketing
REV0000223,EMP00059,2022,Q3,4.2,72,3,2,4,0,5.4,Marketing
REV0000224,EMP00059,2023,Q2,4.0,86,5,3,3,0,26.7,Marketing
REV0000225,EMP00059,2024,Q1,3.0,64,3,3,4,0,25.3,Marketing
REV0000226,EMP00060,2020,Q1,4.6,70,4,2,5,0,15.2,Marketing
REV0000227,EMP00060,2021,Q1,3.8,66,2,4,4,0,14.9,Marketing
REV0000228,EMP00061,2020,Q1,4.9,71,2,3,5,1,25.6,Customer Success
REV0000229,EMP00062,2020,Q1,5.0,80,3,4,3,0,11.2,HR
REV0000230,EMP00062,2021,Q4,4.9,50,2,3,4,0,28.8,HR
REV0000231,EMP00062,2022,Q3,3.3,85,4,3,4,0,5.1,HR
REV0000232,EMP00062,2023,Q3,3.1,86,4,3,4,0,6.3,HR
REV0000233,EMP00062,2024,Q1,3.2,55,4,4,5,0,13.4,HR
REV0000234,EMP00063,2020,Q1,2.6,87,2,3,3,0,3.4,Data Analytics
REV0000235,EMP00064,2020,Q4,3.8,95,3,3,4,0,27.6,Finance
REV0000236,EMP00065,2020,Q3,3.8,59,3,3,4,0,9.5,Engineering
REV0000237,EMP00065,2021,Q2,4.3,65,4,3,4,0,27.4,Engineering
REV0000238,EMP00065,2022,Q2,4.6,60,1,3,3,0,9.2,Engineering
REV0000239,EMP00065,2023,Q3,4.1,62,4,5,4,0,27.9,Engineering
REV0000240,EMP00065,2024,Q4,4.6,65,4,4,3,0,17.7,Engineering
REV0000241,EMP00066,2020,Q2,4.4,52,4,4,5,0,24.9,Data Analytics
REV0000242,EMP00067,2020,Q2,3.0,99,2,4,4,0,9.2,Product
REV0000243,EMP00068,2020,Q3,3.3,85,4,4,2,0,8.1,Engineering
REV0000244,EMP00068,2021,Q4,4.6,91,4,4,3,0,12.7,Engineering
REV0000245,EMP00069,2020,Q3,3.1,56,4,2,3,0,25.5,Marketing
REV0000246,EMP00069,2021,Q2,2.5,81,3,4,3,1,28.0,Marketing
REV0000247,EMP00069,2022,Q2,5.0,90,4,2,3,0,3.9,Marketing
REV0000248,EMP00069,2023,Q3,3.9,61,3,4,4,0,7.2,Marketing
REV0000249,EMP00070,2020,Q3,3.4,57,3,4,4,0,10.2,Engineering
REV0000250,EMP00070,2021,Q3,2.4,62,4,3,5,0,3.9,Engineering
REV0000251,EMP00070,2022,Q4,2.1,79,3,4,4,0,22.6,Engineering
REV0000252,EMP00071,2020,Q3,4.8,79,3,3,3,0,23.0,Marketing
REV0000253,EMP00071,2021,Q2,3.8,50,5,5,3,0,28.7,Marketing
REV0000254,EMP00071,2022,Q4,5.0,98,3,2,5,1,19.1,Marketing
REV0000255,EMP00071,2023,Q2,2.3,96,3,5,2,0,16.7,Marketing
REV0000256,EMP00071,2024,Q3,2.8,92,4,2,4,0,11.6,Marketing
REV0000257,EMP00072,2020,Q1,2.8,68,3,4,3,0,19.6,Sales
REV0000258,EMP00072,2021,Q1,2.9,57,4,5,4,0,20.4,Sales
REV0000259,EMP00072,2022,Q3,2.5,99,5,2,5,0,18.5,Sales
REV0000260,EMP00072,2023,Q4,4.3,94,3,3,4,0,9.0,Sales
REV0000261,EMP00072,2024,Q1,3.4,53,3,3,2,0,12.3,Sales
REV0000262,EMP00073,2020,Q1,2.7,86,3,4,5,1,18.8,HR
REV0000263,EMP00073,2021,Q1,4.5,86,3,3,2,0,12.5,HR
REV0000264,EMP00073,2022,Q2,4.1,58,5,4,3,0,8.5,HR
REV0000265,EMP00073,2023,Q4,4.4,57,5,5,4,0,29.3,HR
REV0000266,EMP00073,2024,Q2,2.0,83,2,5,4,0,25.8,HR
REV0000267,EMP00074,2020,Q1,4.7,59,3,3,4,0,24.3,Finance
REV0000268,EMP00074,2021,Q4,3.5,98,1,3,4,0,19.5,Finance
REV0000269,EMP00074,2022,Q2,2.9,50,5,1,3,0,21.4,Finance
REV0000270,EMP00074,2023,Q4,2.4,65,4,3,4,0,15.6,Finance
REV0000271,EMP00074,2024,Q4,2.3,84,4,1,4,0,19.0,Finance
REV0000272,EMP00075,2020,Q2,4.7,75,5,3,2,1,29.7,Finance
REV0000273,EMP00075,2021,Q3,4.6,98,2,5,3,0,22.3,Finance
REV0000274,EMP00075,2022,Q3,4.7,81,3,4,4,1,22.3,Finance
REV0000275,EMP00075,2023,Q3,2.2,61,4,3,5,0,22.4,Finance
REV0000276,EMP00075,2024,Q1,4.7,57,3,5,4,0,3.5,Finance
REV0000277,EMP00076,2020,Q1,3.8,61,4,3,3,0,12.7,Engineering
REV0000278,EMP00076,2021,Q2,3.8,53,3,3,3,0,22.1,Engineering
REV0000279,EMP00076,2022,Q3,3.0,53,1,4,3,0,20.9,Engineering
REV0000280,EMP00076,2023,Q1,2.2,86,5,4,5,0,9.7,Engineering
REV0000281,EMP00076,2024,Q1,2.1,73,4,5,3,0,29.5,Engineering
REV0000282,EMP00077,2020,Q2,2.4,76,4,2,4,0,28.8,Legal
REV0000283,EMP00077,2021,Q4,2.4,74,5,1,3,0,12.9,Legal
REV0000284,EMP00077,2022,Q4,2.5,91,1,3,4,0,8.4,Legal
REV0000285,EMP00077,2023,Q1,3.9,81,5,4,4,0,16.6,Legal
REV0000286,EMP00078,2020,Q4,4.3,79,3,3,5,0,21.4,Marketing
REV0000287,EMP00079,2020,Q3,3.4,53,4,3,5,0,15.1,HR
REV0000288,EMP00079,2021,Q2,4.2,57,3,3,4,0,11.0,HR
REV0000289,EMP00079,2022,Q4,3.6,66,4,3,2,0,9.7,HR
REV0000290,EMP00079,2023,Q2,3.5,93,3,5,3,0,11.2,HR
REV0000291,EMP00079,2024,Q3,3.6,76,3,5,5,0,19.5,HR
REV0000292,EMP00080,2020,Q4,4.6,56,3,5,4,0,8.7,Sales
REV0000293,EMP00080,2021,Q1,2.9,68,4,5,4,0,21.7,Sales
REV0000294,EMP00081,2020,Q2,2.7,90,5,2,5,0,24.9,Engineering
REV0000295,EMP00081,2021,Q3,2.2,82,3,4,3,0,8.6,Engineering
REV0000296,EMP00082,2020,Q2,2.4,85,3,3,2,0,22.6,Engineering
REV0000297,EMP00082,2021,Q3,3.3,69,3,4,3,0,4.4,Engineering
REV0000298,EMP00082,2022,Q3,2.6,62,4,4,4,1,24.6,Engineering
REV0000299,EMP00082,2023,Q4,3.4,87,4,2,5,0,23.8,Engineering
REV0000300,EMP00082,2024,Q4,3.7,97,5,1,4,1,27.4,Engineering
REV0000301,EMP00083,2020,Q1,2.2,86,2,3,2,0,10.0,Sales
REV0000302,EMP00083,2021,Q1,2.9,91,3,3,4,0,15.6,Sales
REV0000303,EMP00083,2022,Q2,4.5,80,5,3,2,0,13.3,Sales
REV0000304,EMP00083,2023,Q3,3.3,55,2,3,4,0,18.9,Sales
REV0000305,EMP00083,2024,Q1,4.6,75,2,3,3,0,24.1,Sales
REV0000306,EMP00084,2020,Q3,3.3,98,4,5,4,0,7.0,Marketing
REV0000307,EMP00084,2021,Q4,4.3,88,3,4,5,0,28.8,Marketing
REV0000308,EMP00084,2022,Q4,2.1,63,4,2,2,0,28.4,Marketing
REV0000309,EMP00084,2023,Q1,3.0,84,5,5,4,0,19.4,Marketing
REV0000310,EMP00084,2024,Q4,3.4,79,3,3,5,0,12.3,Marketing
REV0000311,EMP00085,2020,Q3,3.1,84,5,1,4,0,7.5,Operations
REV0000312,EMP00085,2021,Q3,3.5,94,4,5,3,0,29.5,Operations
REV0000313,EMP00085,2022,Q3,4.5,51,2,3,4,0,27.9,Operations
REV0000314,EMP00085,2023,Q1,2.5,65,4,3,3,1,25.4,Operations
REV0000315,EMP00085,2024,Q1,3.9,65,4,3,4,0,29.1,Operations
REV0000316,EMP00086,2020,Q1,3.6,94,3,4,4,0,21.0,Engineering
REV0000317,EMP00086,2021,Q4,4.3,62,5,4,3,0,20.4,Engineering
REV0000318,EMP00086,2022,Q1,4.4,92,5,3,3,0,3.0,Engineering
REV0000319,EMP00087,2020,Q1,2.8,93,2,3,4,0,25.5,Operations
REV0000320,EMP00087,2021,Q2,4.0,73,4,3,3,1,12.5,Operations
REV0000321,EMP00087,2022,Q3,3.1,99,4,4,5,0,13.4,Operations
REV0000322,EMP00088,2020,Q2,3.5,54,4,1,4,0,29.1,HR
REV0000323,EMP00088,2021,Q4,3.5,80,5,4,5,0,28.3,HR
REV0000324,EMP00088,2022,Q4,2.4,56,3,2,2,0,21.8,HR
REV0000325,EMP00088,2023,Q1,4.4,82,4,4,5,0,29.1,HR
REV0000326,EMP00088,2024,Q4,4.9,62,5,2,1,0,4.6,HR
REV0000327,EMP00089,2020,Q2,3.7,57,4,3,1,0,14.7,Sales
REV0000328,EMP00089,2021,Q3,3.9,53,4,4,3,0,21.9,Sales
REV0000329,EMP00089,2022,Q2,4.4,54,4,3,3,1,29.1,Sales
REV0000330,EMP00090,2020,Q3,3.8,76,3,3,5,0,20.1,Legal
REV0000331,EMP00090,2021,Q2,4.0,89,3,4,5,0,18.4,Legal
REV0000332,EMP00090,2022,Q1,4.7,96,2,3,4,1,17.0,Legal
REV0000333,EMP00091,2020,Q2,2.3,75,4,3,1,0,11.2,HR
REV0000334,EMP00091,2021,Q4,4.0,72,5,4,3,0,15.6,HR
REV0000335,EMP00091,2022,Q1,3.9,95,2,3,4,0,17.8,HR
REV0000336,EMP00091,2023,Q1,3.1,89,2,4,5,0,5.8,HR
